epochs,refinement,Runs,X family,X degree,X breaks,B family,B degree,B breaks,design,criterion
1000,100,12,bpslines,0,9,bsplines,1,2,"[[ 1.  1.  1.  1. -1. -1. -1. -1.]
 [ 1.  1.  1.  1.  1.  1.  1.  1.]
 [-1. -1. -1. -1.  1.  1.  1.  1.]
 [ 1.  1.  1.  1. -1. -1. -1. -1.]
 [ 1.  1.  1.  1.  1.  1.  1.  1.]
 [ 1.  1.  1.  1. -1. -1. -1. -1.]
 [-1. -1. -1. -1. -1. -1. -1. -1.]
 [-1. -1. -1. -1.  1.  1.  1.  1.]
 [ 1.  1.  1.  1. -1. -1. -1. -1.]
 [-1. -1. -1. -1. -1. -1. -1. -1.]
 [-1. -1. -1. -1.  1.  1.  1.  1.]
 [-1. -1. -1. -1.  1.  1.  1.  1.]]",1.583333333
1000,100,12,bpslines,0,9,bsplines,2,1,"[[ 1.  1. -1. -1. -1. -1.  1.  1.]
 [-1. -1. -1. -1.  1.  1.  1.  1.]
 [-1. -1.  1.  1.  1.  1. -1. -1.]
 [ 1.  1. -1. -1. -1. -1.  1.  1.]
 [ 1.  1.  1.  1.  1.  1.  1.  1.]
 [ 1.  1.  1.  1. -1. -1. -1. -1.]
 [-1. -1.  1.  1.  1.  1. -1. -1.]
 [-1. -1. -1. -1. -1. -1.  1.  1.]
 [-1. -1. -1. -1. -1. -1. -1. -1.]
 [-1. -1.  1.  1.  1.  1. -1. -1.]
 [-1. -1. -1.  1.  1.  1.  1.  1.]
 [ 1.  1. -1. -1. -1. -1.  1.  1.]]",10.67586167
1000,100,12,bpslines,0,9,bsplines,0,4,"[[-1. -1.  1.  1.  1. -1. -1. -1.]
 [-1. -1.  1.  1.  1.  1.  1.  1.]
 [-1. -1. -1. -1. -1. -1.  1.  1.]
 [-1. -1. -1.  1.  1.  1.  1.  1.]
 [ 1.  1.  1. -1. -1.  1.  1.  1.]
 [ 1.  1.  1.  1.  1.  1.  1.  1.]
 [ 1.  1.  1.  1.  1. -1. -1. -1.]
 [ 1.  1.  1. -1. -1. -1. -1. -1.]
 [-1. -1. -1. -1. -1. -1. -1. -1.]
 [-1. -1. -1. -1. -1.  1.  1.  1.]
 [-1. -1. -1.  1.  1. -1. -1. -1.]
 [ 1.  1.  1. -1. -1. -1.  1.  1.]]",2.9624711
1000,100,12,bpslines,0,9,bsplines,0,5,"[[-1. -1.  1.  1.  1.  1. -1. -1.]
 [-1. -1.  1.  1. -1. -1.  1.  1.]
 [ 1.  1.  1.  1. -1. -1. -1. -1.]
 [-1. -1. -1. -1. -1. -1. -1. -1.]
 [ 1.  1.  1.  1. -1. -1.  1.  1.]
 [ 1.  1. -1. -1. -1. -1. -1. -1.]
 [ 1.  1. -1. -1.  1.  1.  1.  1.]
 [-1. -1. -1. -1. -1. -1.  1.  1.]
 [ 1.  1.  1.  1.  1.  1. -1. -1.]
 [-1. -1.  1.  1.  1.  1.  1.  1.]
 [ 1.  1. -1. -1.  1.  1.  1.  1.]
 [-1. -1. -1. -1.  1.  1. -1. -1.]]",5.416666667
1000,100,12,bpslines,0,9,bsplines,1,3,"[[ 1.  1.  1. -1. -1. -1. -1. -1.]
 [ 1.  1.  1. -1. -1.  1.  1.  1.]
 [-1. -1. -1. -1. -1.  1.  1.  1.]
 [-1. -1.  1.  1.  1.  1. -1. -1.]
 [-1. -1. -1.  1.  1. -1. -1. -1.]
 [ 1.  1.  1.  1.  1.  1.  1.  1.]
 [ 1.  1.  1. -1. -1. -1. -1. -1.]
 [ 1.  1.  1.  1.  1.  1. -1. -1.]
 [-1. -1. -1.  1.  1.  1.  1.  1.]
 [-1. -1. -1. -1. -1. -1.  1.  1.]
 [ 1.  1. -1. -1. -1. -1.  1.  1.]
 [-1. -1. -1.  1.  1. -1. -1. -1.]]",5.488456156
1000,100,12,bpslines,0,9,bsplines,1,4,"[[-1.  1.  1.  1. -1. -1. -1.  1.]
 [-1. -1. -1. -1. -1. -1. -1. -1.]
 [-1. -1.  1.  1.  1.  1. -1. -1.]
 [ 1.  1. -1. -1.  1.  1. -1. -1.]
 [ 1.  1.  1.  1. -1. -1. -1. -1.]
 [ 1.  1. -1. -1. -1.  1.  1.  1.]
 [ 1.  1. -1. -1.  1.  1. -1. -1.]
 [-1. -1. -1.  1.  1.  1.  1.  1.]
 [-1. -1.  1.  1. -1. -1.  1.  1.]
 [-1. -1. -1. -1. -1. -1.  1.  1.]
 [-1. -1.  1.  1.  1.  1. -1. -1.]
 [ 1.  1.  1.  1. -1. -1.  1.  1.]]",13.43211324
1000,100,12,bpslines,0,9,bsplines,2,2,"[[ 1.  1. -1. -1. -1. -1.  1.  1.]
 [ 1.  1. -1. -1. -1. -1. -1.  1.]
 [-1. -1. -1. -1. -1.  1.  1.  1.]
 [ 1.  1.  1.  1.  1.  1.  1.  1.]
 [-1. -1.  1.  1.  1.  1. -1. -1.]
 [ 1.  1.  1.  1. -1. -1. -1. -1.]
 [-1. -1.  1.  1.  1.  1. -1. -1.]
 [ 1.  1. -1. -1. -1. -1.  1.  1.]
 [-1. -1. -1. -1.  1.  1.  1.  1.]
 [-1. -1.  1.  1.  1.  1. -1. -1.]
 [-1. -1. -1. -1. -1. -1. -1. -1.]
 [-1. -1.  1.  1.  1.  1. -1. -1.]]",10.45931558
1000,100,12,bpslines,0,9,bsplines,2,3,"[[ 1.  1.  1. -1. -1. -1. -1.  1.]
 [ 1. -1. -1. -1.  1.  1. -1. -1.]
 [-1.  1.  1.  1.  1. -1. -1. -1.]
 [-1. -1.  1.  1. -1. -1.  1.  1.]
 [ 1.  1.  1.  1.  1.  1.  1.  1.]
 [-1. -1. -1. -1. -1. -1.  1.  1.]
 [ 1.  1. -1. -1. -1. -1. -1. -1.]
 [-1. -1. -1.  1.  1.  1.  1. -1.]
 [-1.  1.  1.  1. -1. -1. -1.  1.]
 [-1. -1.  1.  1.  1. -1. -1. -1.]
 [ 1. -1. -1. -1.  1.  1.  1. -1.]
 [ 1.  1. -1. -1. -1.  1.  1.  1.]]",22.86911459
1000,100,12,bpslines,0,9,bsplines,0,6,"[[ 1.  1.  1. -1. -1.  1.  1.  1.]
 [ 1.  1. -1. -1. -1. -1. -1. -1.]
 [ 1.  1.  1.  1.  1. -1. -1.  1.]
 [-1. -1.  1. -1. -1. -1. -1.  1.]
 [ 1. -1. -1.  1.  1. -1.  1.  1.]
 [-1. -1. -1. -1. -1. -1.  1.  1.]
 [-1. -1.  1.  1.  1.  1. -1. -1.]
 [ 1.  1. -1. -1.  1.  1.  1. -1.]
 [-1. -1.  1.  1.  1.  1.  1.  1.]
 [-1.  1.  1. -1. -1.  1.  1. -1.]
 [-1.  1.  1.  1.  1. -1. -1. -1.]
 [-1. -1. -1. -1.  1.  1. -1. -1.]]",16.50873021
1000,100,12,bpslines,0,9,bsplines,0,7,"[[-1. -1.  1.  1.  1. -1. -1.  1.]
 [-1.  1.  1.  1.  1.  1.  1.  1.]
 [ 1.  1. -1. -1.  1. -1. -1.  1.]
 [ 1. -1. -1. -1.  1.  1.  1.  1.]
 [-1.  1.  1. -1.  1.  1. -1. -1.]
 [ 1. -1. -1.  1.  1.  1. -1. -1.]
 [ 1. -1. -1.  1. -1. -1. -1. -1.]
 [ 1.  1.  1. -1. -1. -1.  1.  1.]
 [-1. -1. -1. -1. -1.  1.  1. -1.]
 [-1.  1.  1. -1. -1. -1. -1. -1.]
 [ 1.  1.  1.  1. -1.  1.  1. -1.]
 [-1. -1. -1.  1. -1. -1.  1.  1.]]",27.24719888
