x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
-0.9699246,0.94617945,0.9942129,-0.9988307,-0.9981953,0.99686736,0.9964208,-0.015648035,-0.99651223,0.9829045,-0.9978211,0.9967816,-0.02768026,-0.9983194,0.5838758
-0.9965392,0.9979018,0.9972466,-0.008021528,-0.32223365,0.9695949,0.6455146,0.525119,-0.8130912,-0.9958926,-0.7287785,0.07518883,-0.5472518,0.99591494,-0.9971184
0.9953777,0.98921293,-0.99508494,0.9985026,-0.99280244,-0.084948495,-0.046137173,0.9589576,0.05256658,-0.10303341,0.0270648,-0.14258525,0.26897523,0.9951058,-0.997535
0.9973358,-0.9974509,0.5685232,-0.9987601,-0.36422426,-0.99833846,0.99653625,-0.046416905,0.99706393,0.99811184,-0.99746525,-0.9771318,-0.9930797,-0.99454975,0.99701834
0.31596485,0.12116808,0.9975127,-0.96257246,-0.32440075,-0.9964569,-0.014879162,-0.9962183,0.1643688,-0.49326956,-0.9835059,0.9956043,0.036425058,0.04649821,0.99803805
0.99817514,-0.99631065,-0.9987781,0.9977632,0.99820393,0.47446486,0.9931998,-0.99762464,-0.9965413,0.99661016,0.9980025,-0.99631095,0.9967349,0.99329567,-0.7793008
-0.10247671,0.84469455,0.9982794,-0.22185883,-0.08235107,0.9951772,-0.091487244,-0.9967897,0.9871526,0.99701995,-0.33241755,-0.9985788,-0.9982586,-0.99595267,-0.85095376
0.053821623,0.7334292,-0.99361527,-0.42314434,-0.9984944,0.73012173,0.9217219,-0.38136005,-0.9806818,0.9880116,-0.9990996,-0.94049424,0.9987243,0.32097772,-0.12340616
0.9939602,-0.43830073,0.988468,0.9987028,0.9955615,0.082803205,0.9974133,0.9979163,-0.6708886,-0.9961268,-0.9979371,-0.4781678,-0.9981622,-0.9973547,0.99762046
0.9248129,0.68137115,0.13329014,-0.99541223,-0.9987628,-0.88683504,-0.1790689,0.9984854,-0.99768156,0.34348,-0.99795544,-0.99592996,-0.9986918,-0.43449694,-0.99229723
0.99860644,-0.9967187,0.013143375,-0.99744684,-0.9825728,-0.51383257,0.25425532,0.02607462,0.91280323,-0.9971118,0.10797322,-0.99683875,0.99484915,0.67623085,-0.9968252
0.99064076,-0.11124749,0.99791676,0.8794261,0.98945427,0.9986766,-0.15156889,0.48026592,-0.9990376,-0.03278205,0.39033467,0.99721944,-0.10739306,0.074594766,0.24443756
-0.99083847,0.99830043,-0.9921934,0.9945593,0.99665993,0.0292333,0.9985207,0.590643,0.99722713,-0.18904449,-0.9964985,0.99901664,-0.15260875,0.48185262,-0.99697477
-0.024940303,-0.27506924,-0.41929138,0.9797653,0.034803234,-0.9978542,0.9913925,0.24322864,0.9992732,0.97593194,0.9958264,-0.98904735,0.99823016,-0.9913994,-0.9970119
0.9965024,-0.99758875,-0.647386,-0.19857286,-0.2027002,0.3406389,-0.18308926,0.9198102,-0.14372583,0.65431726,-0.998016,0.9984038,-0.99621713,0.09600386,0.99802625
0.9979386,0.99792236,-0.99818856,-0.9975229,0.997872,0.9961738,0.99755096,-0.99725795,0.9606642,0.995364,0.19255878,0.2136457,0.9982668,0.9959337,0.9985275
0.3959949,0.45254138,-0.9943183,0.9974704,0.997714,0.09923401,-0.013603105,-0.9967971,0.99791694,0.99796224,-0.9924243,0.99486285,0.1611536,-0.931278,0.19564134
0.08478628,-0.276438,-0.49339294,0.99078333,-0.9975178,0.9935907,0.9925045,0.99812096,-0.99559957,-0.9981568,-0.9970446,0.9953009,0.9988079,-0.4466935,-0.99865824
